date	IPC
nov-96	37.72398
dic-96	37.99651
ene-97	38.62612
feb-97	39.83103
mar-97	40.45016
abr-97	41.10718
may-97	41.77435
jun-97	42.27692
jul-97	42.6301
ago-97	43.1199
sep-97	43.66319
oct-97	44.08496
nov-97	44.44339
dic-97	44.71589
ene-98	45.51778
feb-98	47.01282
mar-98	48.23588
abr-98	49.63681
may-98	50.41245
jun-98	51.02799
jul-98	51.27197
ago-98	51.28861
sep-98	51.43735
oct-98	51.62089
nov-98	51.71247
dic-98	52.18481
ene-99	53.33761
feb-99	54.24344
mar-99	54.75222
abr-99	55.18137
may-99	55.44543
jun-99	55.60033
jul-99	55.77382
ago-99	56.04996
sep-99	56.23539
oct-99	56.43202
nov-99	56.70225
dic-99	57.00236
ene-00	57.73729
feb-00	59.06643
mar-00	60.07697
abr-00	60.67541
may-00	60.9917
jun-00	60.97989
jul-00	60.9562
ago-00	61.1486
sep-00	61.40907
oct-00	61.50305
nov-00	61.70503
dic-00	61.98903
ene-01	62.64044
feb-01	63.82616
mar-01	64.77157
abr-01	65.51484
may-01	65.78895
jun-01	65.81547
jul-01	65.88726
ago-01	66.05898
sep-01	66.30408
oct-01	66.42691
nov-01	66.50455
dic-01	66.72893
ene-02	67.26002
feb-02	68.1052
mar-02	68.58761
abr-02	69.21518
may-02	69.62961
jun-02	69.9282
jul-02	69.944
ago-02	70.01001
sep-02	70.2622
oct-02	70.65505
nov-02	71.20492
dic-02	71.39513
ene-03	72.23341
feb-03	73.03558
mar-03	73.80035
abr-03	74.64728
may-03	75.01296
jun-03	74.97195
jul-03	74.86465
ago-03	75.09591
sep-03	75.26122
oct-03	75.30658
nov-03	75.56889
dic-03	76.02913
ene-04	76.70288
feb-04	77.62288
mar-04	78.38691
abr-04	78.74445
may-04	79.04433
jun-04	79.52133
jul-04	79.49675
ago-04	79.52074
sep-04	79.7563
oct-04	79.74837
nov-04	79.96987
dic-04	80.20885
ene-05	80.86822
feb-05	81.69507
mar-05	82.32699
abr-05	82.68815
may-05	83.0254
jun-05	83.35831
jul-05	83.39888
ago-05	83.40016
sep-05	83.75696
oct-05	83.94967
nov-05	84.04563
dic-05	84.10291
ene-06	84.55834
feb-06	85.11449
mar-06	85.71228
abr-06	86.09607
may-06	86.37832
jun-06	86.64117
jul-06	86.99909
ago-06	87.34044
sep-06	87.5904
oct-06	87.46374
nov-06	87.67102
dic-06	87.86896
ene-07	88.54252
feb-07	89.58025
mar-07	90.66685
abr-07	91.48253
may-07	91.75661
jun-07	91.86894
jul-07	92.02048
ago-07	91.89765
sep-07	91.9743
oct-07	91.97976
nov-07	92.41584
dic-07	92.87228
ene-08	93.85245
feb-08	95.27039
mar-08	96.03972
abr-08	96.72265
may-08	97.62382
jun-08	98.4655
jul-08	98.94005
ago-08	99.12932
sep-08	98.94017
oct-08	99.28265
nov-08	99.55967
dic-08	100
ene-09	100.58933
feb-09	101.43129
mar-09	101.93732
abr-09	102.26473
may-09	102.27913
jun-09	102.22182
jul-09	102.18207
ago-09	102.22713
sep-09	102.11512
oct-09	101.98473
nov-09	101.91776
dic-09	102.00181
ene-10	102.70133
feb-10	103.55215
mar-10	103.81247
abr-10	104.29044
may-10	104.39815
jun-10	104.51684
jul-10	104.47279
ago-10	104.59005
sep-10	104.44808
oct-10	104.35595
nov-10	104.55843
dic-10	105.23651
ene-11	106.19253
feb-11	106.83242
mar-11	107.12039
abr-11	107.24806
may-11	107.55352
jun-11	107.89544
jul-11	108.04537
ago-11	108.01191
sep-11	108.3454
oct-11	108.551
nov-11	108.70205
dic-11	109.1574
ene-12	109.95503
feb-12	110.6266
mar-12	110.76164
abr-12	110.92154
may-12	111.25436
jun-12	111.34646
jul-12	111.32241
ago-12	111.36807
sep-12	111.68694
oct-12	111.86942
nov-12	111.71648
dic-12	111.81576
ene-13	112.14896
feb-13	112.64705
mar-13	112.87881
abr-13	113.16432
may-13	113.47973
jun-13	113.74622
jul-13	113.79727
ago-13	113.89218
sep-13	114.22579
oct-13	113.92928
nov-13	113.68292
dic-13	113.98254
ene-14	114.53678
feb-14	115.25924
mar-14	115.71358
abr-14	116.24321
may-14	116.80555
jun-14	116.91441
jul-14	117.0913
ago-14	117.32919
sep-14	117.48858
oct-14	117.68219
nov-14	117.8373
dic-14	118.15166
ene-15	118.91289
feb-15	120.27993
mar-15	120.98456
abr-15	121.63437
may-15	121.95433
jun-15	122.08236
jul-15	122.30851
ago-15	122.89561
sep-15	123.77501
oct-15	124.61929
nov-15	125.37075
dic-15	126.14945
ene-16	127.77754
feb-16	129.41261
mar-16	130.63385
abr-16	131.28192
may-16	131.95119
